COU,Country,POL,Pollutant,VAR,Variable,YEA,Unit Code,Unit,Forecast
PRT,Portugal,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2024,T_CO2_EQVT,Tonnes of CO2 equivalent,41214.56188327522
PRT,Portugal,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2025,T_CO2_EQVT,Tonnes of CO2 equivalent,41069.51407159427
SVK,Slovak Republic,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2021,T_CO2_EQVT,Tonnes of CO2 equivalent,30757.2544479433
SVK,Slovak Republic,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2022,T_CO2_EQVT,Tonnes of CO2 equivalent,30814.129134795607
SVK,Slovak Republic,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2023,T_CO2_EQVT,Tonnes of CO2 equivalent,30804.45616090419
SVK,Slovak Republic,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2024,T_CO2_EQVT,Tonnes of CO2 equivalent,30806.08936992238
SVK,Slovak Republic,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2025,T_CO2_EQVT,Tonnes of CO2 equivalent,30805.817076882857
ESP,Spain,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2021,T_CO2_EQVT,Tonnes of CO2 equivalent,196285.863645794
ESP,Spain,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2022,T_CO2_EQVT,Tonnes of CO2 equivalent,198729.13601517768
ESP,Spain,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2023,T_CO2_EQVT,Tonnes of CO2 equivalent,194400.16399837547
ESP,Spain,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2024,T_CO2_EQVT,Tonnes of CO2 equivalent,194517.30334675146
ESP,Spain,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2025,T_CO2_EQVT,Tonnes of CO2 equivalent,195037.71793250262
SWE,Sweden,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2021,T_CO2_EQVT,Tonnes of CO2 equivalent,36551.26460944701
